Ethnicity,Age_Range,F,M
BAN,0-4,5446,5414
BAN,10-14,4533,4726
BAN,15-19,4733,4795
BAN,20-24,4039,4189
BAN,25-29,3563,3775
BAN,30-34,4062,4154
BAN,35-39,4441,3784
BAN,40-44,4111,3983
BAN,45-49,2962,3480
BAN,5-9,4827,4925
BAN,50-54,1801,2584
BAN,55-59,1154,1495
BAN,60-64,914,1262
BAN,65-69,943,638
BAN,70-74,624,142
BAN,75-79,397,196
BAN,80-84,464,396
BAN,85+,280,343
BLA,0-4,480,517
BLA,10-14,475,477
BLA,15-19,367,392
BLA,20-24,322,328
BLA,25-29,317,353
BLA,30-34,493,414
BLA,35-39,579,455
BLA,40-44,551,490
BLA,45-49,439,411
BLA,5-9,501,514
BLA,50-54,420,337
BLA,55-59,285,255
BLA,60-64,189,171
BLA,65-69,120,102
BLA,70-74,94,77
BLA,75-79,64,34
BLA,80-84,43,44
BLA,85+,41,40
BLC,0-4,153,125
BLC,10-14,128,146
BLC,15-19,146,112
BLC,20-24,101,109
BLC,25-29,158,150
BLC,30-34,253,224
BLC,35-39,272,204
BLC,40-44,213,181
BLC,45-49,176,178
BLC,5-9,174,178
BLC,50-54,241,225
BLC,55-59,294,253
BLC,60-64,215,170
BLC,65-69,136,120
BLC,70-74,77,51
BLC,75-79,75,43
BLC,80-84,70,66
BLC,85+,94,58
CHI,0-4,387,368
CHI,10-14,152,174
CHI,15-19,53,51
CHI,20-24,53,48
CHI,25-29,157,136
CHI,30-34,1011,811
CHI,35-39,1206,990
CHI,40-44,731,643
CHI,45-49,303,303
CHI,5-9,387,428
CHI,50-54,188,134
CHI,55-59,102,81
CHI,60-64,93,75
CHI,65-69,95,76
CHI,70-74,63,44
CHI,75-79,29,25
CHI,80-84,18,11
CHI,85+,23,17
IND,0-4,412,396
IND,10-14,202,203
IND,15-19,71,74
IND,20-24,53,51
IND,25-29,113,114
IND,30-34,433,468
IND,35-39,850,967
IND,40-44,652,928
IND,45-49,247,364
IND,5-9,403,419
IND,50-54,130,150
IND,55-59,79,88
IND,60-64,69,83
IND,65-69,44,53
IND,70-74,32,22
IND,75-79,19,14
IND,80-84,13,17
IND,85+,18,10
MIX,0-4,387,369
MIX,10-14,892,952
MIX,15-19,531,529
MIX,20-24,358,383
MIX,25-29,331,397
MIX,30-34,823,564
MIX,35-39,799,696
MIX,40-44,495,532
MIX,45-49,281,283
MIX,5-9,368,369
MIX,50-54,197,229
MIX,55-59,139,190
MIX,60-64,118,108
MIX,65-69,75,61
MIX,70-74,38,31
MIX,75-79,22,21
MIX,80-84,23,12
MIX,85+,26,15
OAS,0-4,314,347
OAS,10-14,189,185
OAS,15-19,139,120
OAS,20-24,95,96
OAS,25-29,169,160
OAS,30-34,440,420
OAS,35-39,577,432
OAS,40-44,530,380
OAS,45-49,366,308
OAS,5-9,385,343
OAS,50-54,213,128
OAS,55-59,113,78
OAS,60-64,104,62
OAS,65-69,77,52
OAS,70-74,54,43
OAS,75-79,35,16
OAS,80-84,26,6
OAS,85+,19,12
OBL,0-4,83,98
OBL,10-14,281,314
OBL,15-19,210,239
OBL,20-24,195,181
OBL,25-29,121,145
OBL,30-34,130,144
OBL,35-39,173,108
OBL,40-44,174,139
OBL,45-49,139,119
OBL,5-9,98,97
OBL,50-54,127,140
OBL,55-59,121,123
OBL,60-64,62,59
OBL,65-69,33,31
OBL,70-74,31,13
OBL,75-79,29,12
OBL,80-84,19,15
OBL,85+,22,15
OTH,0-4,215,213
OTH,10-14,177,175
OTH,15-19,161,162
OTH,20-24,100,133
OTH,25-29,157,170
OTH,30-34,312,502
OTH,35-39,384,616
OTH,40-44,370,513
OTH,45-49,213,322
OTH,5-9,223,247
OTH,50-54,149,243
OTH,55-59,91,226
OTH,60-64,85,88
OTH,65-69,61,65
OTH,70-74,33,27
OTH,75-79,19,25
OTH,80-84,22,15
OTH,85+,18,15
PAK,0-4,171,151
PAK,10-14,88,96
PAK,15-19,67,69
PAK,20-24,49,49
PAK,25-29,83,97
PAK,30-34,181,259
PAK,35-39,167,228
PAK,40-44,118,196
PAK,45-49,84,109
PAK,5-9,159,161
PAK,50-54,56,61
PAK,55-59,33,58
PAK,60-64,33,32
PAK,65-69,34,23
PAK,70-74,22,19
PAK,75-79,9,17
PAK,80-84,12,7
PAK,85+,4,11
WBI,0-4,3024,3113
WBI,10-14,1535,1610
WBI,15-19,1022,983
WBI,20-24,917,980
WBI,25-29,1652,1501
WBI,30-34,5297,5011
WBI,35-39,6280,7337
WBI,40-44,3979,5605
WBI,45-49,2446,3754
WBI,5-9,3505,3454
WBI,50-54,2259,3277
WBI,55-59,2232,2802
WBI,60-64,1957,2483
WBI,65-69,1722,2041
WBI,70-74,1410,1710
WBI,75-79,1009,964
WBI,80-84,746,591
WBI,85+,1540,766
WHO,0-4,2074,2105
WHO,10-14,471,526
WHO,15-19,214,205
WHO,20-24,169,160
WHO,25-29,401,331
WHO,30-34,2359,1833
WHO,35-39,4156,4105
WHO,40-44,3351,3812
WHO,45-49,1731,2170
WHO,5-9,2133,2109
WHO,50-54,835,1175
WHO,55-59,461,601
WHO,60-64,317,306
WHO,65-69,246,211
WHO,70-74,176,169
WHO,75-79,89,71
WHO,80-84,55,37
WHO,85+,82,47
